"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
55.6536266;37.6469331;"Каширское ш., 26, Москва, Россия, 115522";"2922";1
55.5360235;37.6388956;"ул. Сухановская, 1 корпус 1, Лопатино, Московская обл., Россия, 142702";"B360";2
55.8038087;37.3086866;"М-9, Красногорск, Московская обл., Россия";"B563";3
55.7872042;37.5663403;"Ленинградский пр-т., 36, Москва, Россия, 125167";"B008";4
55.6457229;37.52157529999999;"ул. Миклухо-Маклая, 37, Москва, Россия, 117485";"2106";5
55.85888929999999;37.5109002;"ул. Онежская, 34 корпус 1, Москва, Россия, 125413";"2078";6
55.8503501;37.4445964;"Сходненская ул., 56, Москва, Россия, 125364";"2388";7
55.8628139;37.4349881;"ТПУ Планерная, Планерная ул., 7, Москва, Россия, 125480";"2318";8
55.86758529999999;37.4932848;"Петрозаводская ул., 24А строение 1, Москва, Россия, 125502";"B309";9
55.8756755;37.5659168;"Керамический пр-д, 51, Москва, Россия, 127540";"2712";10
55.8977353;37.5788659;"Череповецкая ул., 18, Москва, Россия, 127576";"B109";11
55.8989079;37.5850715;"Череповецкая ул., 17, Москва, Россия, 127572";"2047";12
55.887766;37.037099;"дачный, 12, Снегири, Московская обл., Россия, 143590";"B104";13
55.7999211;37.3967934;"Таллинская ул., 7, Москва, Россия, 123458";"2415";14
55.8036995;37.8005665;"Сиреневый б-р, 31, Москва, Россия, 105215";"B379";15
55.68618559999999;37.8552457;"ул. Авиаконструктора Миля, 7, Москва, Россия, 109156";"2833";16
55.7765548;37.5240288;"Хорошёвское ш., 27, Москва, Россия, 123007";"2638";17
55.7377872;37.8568533;"ул. Новокосинская, 14а, Москва, Россия, 111672";"2000";18
55.7536509;37.8817408;"Юбилейный пр., 57, Реутов, Московская обл., Россия, 143969";"B488";19
55.76710070000001;37.8288948;"Саянская ул., 8А, Москва, Россия, 111555";"2151";20
55.772692;37.8211669;"Магнитогорская ул., 2, Москва, Россия, 105568";"2825";21
55.7917892;37.7879255;"ул. Первомайская, 42, Москва, Россия, 105043";"2414";22
55.78276;37.726592;"ул. Щербаковская, 7, А, Москва, Россия, 105318";"2018";23
55.70762;37.6206143;"Большая Тульская ул., 2, Москва, Россия, 115191";"2581";24
55.68225589999999;37.7026936;"Коломенская ул., 7, Москва, Россия, 115142";"2276";25
55.675128;37.7237599;"Шоссейная ул., 49, Москва, Россия, 109383";"B046";26
55.6598012;37.7496474;"ул. Перерва, 43, стр. 1, Москва, Россия, 109341";"2823";27
55.6536032;37.6205457;"ТДЦ «ВАРШАВСКИЙ», Варшавское ш., 87Б, Москва, Россия, 117556";"2325";28
55.6406114;37.60823;"Балаклавский пр., 5А, Москва, Россия, 117639";"B491";29
55.7419496;37.6163089;"ул. Большая Полянка, 28 корпус 1, Москва, Россия, 119180";"2108";30
55.6257805;37.3060841;"ул. Летчика Ульянина, 5, Москва, Россия, 119027";"2641";31
55.6070218;37.5130771;"Голубинская ул., 5, Москва, Россия, 117574";"2115";32
55.600312;37.539012;"ул. Паустовского, 6, к. 1, Москва, Россия, 117463";"2350";33
55.93679299999999;37.4926395;"Лихачевский просп., 76а, Долгопрудный, Московская обл., Россия, 141707";"B180";34
55.98715259999999;37.2021514;"Зеленоград, Москва, Россия";"2076";35
55.8440307;37.63742269999999;"ул. Вильгельма Пика, 11, Москва, Россия, 129226";"B516";36
55.7805575;37.66615890000001;"Краснопрудная ул., 13А, Москва, Россия, 107140";"2051";37
55.78059039999999;37.634776;"Протопоповский пер., 3, Москва, Россия";"B440";38
55.73737999999999;37.66362;"Марксистская ул., 1, Москва, Россия, 109147";"2458";39
55.5406578;37.7184028;"ул. Березовая, 8, Видное, Московская обл., Россия, 142701";"2729";40
55.7016562;37.9324735;"Покровская ул., 18 стр 1, Москва, Россия, 111674";"B497";41
55.4171546;38.24683390000001;"Каширский пер., 66, Бронницы, Московская обл., Россия, 140170";"B196";42
56.2273409;43.4161486;"пр. Циолковского, 61, Дзержинск, Нижегородская обл., Россия, 606029";"B231";43
56.2593022;43.8567078;"ул. Плотникова, 3А, Нижний Новгород, Нижегородская обл., Россия, 603138";"B200";44
55.7522122;49.2277228;"ул. Кул Гали, 9а, Казань, Респ. Татарстан, Россия, 420141";"B257";45
55.8028826;49.18448679999999;"Сибирский Tракт, 34 корпус 1, Казань, Респ. Татарстан, Россия, 420029";"2284";46
53.4991326;49.2884343;"ул. Спортивная, 4В, Тольятти, Самарская обл., Россия, 445057";"B028";47
53.2601284;50.23178739999999;"Зои Космодемьянской ул., 7А, Самара, Самарская обл., Россия, 443122";"2157";48
48.7719787;44.80040109999999;"ул. Александрова, 18А, Волжский, Волгоградская обл., Россия, 404105";"B224";49
48.74502810000001;44.5185567;"ул. им. Землячки, 110, Волгоград, Волгоградская обл., Россия, 400010";"B365";50
56.35994669999999;44.05273380000001;"ул. Пушкина, д. 102, Бор, Нижегородская обл., Россия, 606440";"2488";51
56.27544649999999;44.0470654;"ул. Романтиков, 19, Нижний Новгород, Нижегородская обл., Россия, 603162";"B397";52
55.7786447;49.1298561;"Спартаковская ул., 6, Казань, Респ. Татарстан, Россия, 420107";"2285";53
53.23349899999999;50.2006969;"Московское ш., 81А, Самара, Самарская обл., Россия, 443111";"B272";54
53.220535;50.2627713;"пр. Кирова, 147, Самара, Самарская обл., Россия, 443077";"B373";55
53.1996623;50.14446359999999;"Чернореченская ул., 38, Самара, Самарская обл., Россия, 443096";"2154";56
48.7054567;44.5087268;"Краснознаменская ул., 9, Волгоград, Волгоградская обл., Россия, 400066";"B032";57
48.696931;44.501706;"Рабоче-Крестьянская ул., 9б, Волгоград, Волгоградская обл., Россия, 400119";"B033";58
56.85295379999999;35.907637;"Тверской просп., 2, Тверь, Тверская обл., Россия, 170100";"2281";59
60.07123139999999;30.3406617;"4-й Верхний пер., 1А, Санкт-Петербург, Россия, 194292";"2787";60
60.0524595;30.3324096;"пр. Просвещения, 19, Санкт-Петербург, Россия, 194358";"2273";61
60.04687550000001;30.3658132;"пр. Просвещения, 60, Санкт-Петербург, Россия, 194291";"B322";62
60.03373509999999;30.3676219;"корп. 1, лит. А, пр. Культуры, 21, Санкт-Петербург, Россия, 195276";"B112";63
60.0371485;30.3310829;"дом, 5, лит. Б, Санкт-Петербург, Россия, 194354";"2131";64
60.0371485;30.3310829;"дом, 5, лит. Б, Санкт-Петербург, Россия, 194354";"2141";65
60.0235836;30.2838303;"Репищева ул., 13, корп. 1, Санкт-Петербург, Россия, 197375";"2135";66
60.0324222;30.2482712;"Парашютная ул., 46, Санкт-Петербург, Россия, 197349";"B017";67
60.010697;30.4036412;"Призма, пр. Науки, 23, Санкт-Петербург, Россия, 197022";"2610";68
60.00040749999999;30.2103734;"ул. Оптиков, 40/17, Санкт-Петербург, Россия, 197082";"B266";69
59.9898596;30.2051055;"ул. Савушкина, 141, Санкт-Петербург, Россия, 197374";"2267";70
59.9530281;30.2251351;"Наличная ул., 44, 1, Санкт-Петербург, Россия, 199397";"B294";71
59.94573249999999;30.2153166;"ул. Кораблестроителей, 21, корп. 1, Санкт-Петербург, Россия, 199226";"2148";72
59.93183730000001;30.2598867;"Большой проспект Васильевского острова, д. 68, Санкт-Петербург, Россия, 199106";"B41D";73
60.03373509999999;30.3676219;"пр. Культуры, 1, Санкт-Петербург, Россия, 195274";"2137";74
59.918931;30.3385042;"ул. Марата, 86, Санкт-Петербург, Россия, 191119";"2136";75
59.97532520000001;30.4081513;"пр. Маршала Блюхера, 41, Санкт-Петербург, Россия, 195221";"B328";76
59.95955499999999;30.4398556;"ш. Революции, 41/39, Санкт-Петербург, Россия, 195248";"2142";77
60.0190229;30.6115531;"Малый пр., 88, Всеволожск, Ленинградская обл., Россия, 188641";"2265";78
59.92051660000001;30.4672083;"пр. Пятилеток, 2, Санкт-Петербург, Россия, 193318";"2427";79
59.9097356;30.5145308;"Европейский просп., 21, Кудрово, Ленинградская обл., Россия";"B086";80
59.895501;30.49331299999999;"гипермаркет ""Перекрёсток, пр. Большевиков, 32, Санкт-Петербург, Россия, 193232";"B073";81
59.83093129999999;30.5001038;"Рыбацкое, Санкт-Петербург, Россия, 192177";"2656";82
59.8329668;30.4140137;"Бухарестская ул., 89, Санкт-Петербург, Россия, 192283";"B213";83
59.82552810000001;30.3828381;"Балканская пл., 5, Санкт-Петербург, Россия, 192281";"2274";84
59.7886342;30.32436959999999;"Пулковское ш., 41, Санкт-Петербург, Россия, 196140";"B546";85
59.73706809999999;30.57190319999999;"б-р Трудящихся, 12, Санкт-Петербург, Россия, 196657";"2858";86
59.8501211;30.26837579999999;"б-р Новаторов, 11, Санкт-Петербург, Россия, 198216";"2143";87
59.84644100000001;30.245044;"Дачный пр., 9, корп.1, этаж2, Санкт-Петербург, Россия, 198255";"2425";88
59.8530175;30.2195884;"Ленинский пр-т., 100 корпус 1, н 5 н, Санкт-Петербург, Россия, 198332";"B233";89
59.8490471;30.1445599;"Петергофское ш., 51, Санкт-Петербург, Россия, 198206";"B41G";90
59.8358368;30.1291598;"пр-т. Ветеранов, 169 корпус 4 стр.1, Санкт-Петербург, Россия, 198264";"B169";91
59.8343563;30.2058842;"пр-т. Ветеранов, 101, этаж 1, T, Санкт-Петербург, Россия, 190000";"B273";92
59.87891639999999;29.8607713;"Гостилицкая ул., 2А, Санкт-Петербург, Россия, 198504";"2428";93
59.910237;29.07964339999999;"ул. Красных Фортов, 26, Сосновый Бор, Ленинградская обл., Россия, 188542";"B205";94
60.1972347;29.6651039;"Средний пр., 39, 38, Санкт-Петербург, Россия, 199004";"2269";95
58.54072060000001;31.2454436;"ул. Ломоносова, 29, Великий Новгород, Новгородская обл., Россия, 173016";"B329";96
61.77816170000001;34.3640396;"Петрозаводск, Респ. Карелия, Россия";"B171";97
68.9704647;33.0717163;"Универмаг ""Волна"", Ленинградская ул., 20/3, 3 этаж, Мурманск, Мурманская обл., Россия, 183038";"B343";98
68.8884283;33.0969932;"ул. Героев рыбачьего, 51, Мурманск, Мурманская обл., Россия, 183053";"B336";99
67.5707932;33.3687644;"ул. Козлова, 10, Апатиты, Мурманская обл., Россия, 184210";"B346";100
59.9005239;30.4861793;"пр. Большевиков, 27, Санкт-Петербург, Россия, 193232";"B024";101
59.97121389999999;30.3865058;"Кондратьевский пр., 44, Санкт-Петербург, Россия, 195197";"2674";102
59.7073338;30.3906766;"Гусарская ул., 4, г, Санкт-Петербург, Россия, 196602";"2831";103
59.7404175;30.4705595;"Ростовская ул., Санкт-Петербург, Россия, 196634";"B293";104
59.83944950000001;30.4950217;"Шлиссельбургский пр., 17 корпус 1, Санкт-Петербург, Россия, 192076";"2235";105
59.58273389999999;30.14635179999999;"Пушкинское ш., 15, Гатчина, Ленинградская обл., Россия, 188306";"B315";106
59.8532716;30.3413304;"ул. Типанова, 21, Санкт-Петербург, Россия, 196135";"2145";107
59.87007499999999;30.3793543;"ул. Белы Куна, 3, г, Санкт-Петербург, Россия, 192238";"B41K";108
59.96671689999999;30.2859135;"Левашовский пр., 13, Санкт-Петербург, Россия, 197110";"B092";109
59.9601738;30.3227831;"Малая Монетная ул., 2, Санкт-Петербург, Россия, 197101";"2473";110
59.9030237;29.0906376;"Солнечная ул., Сосновый Бор, Ленинградская обл., Россия, 188541";"2139";111
59.85446999999999;30.21336;"Ленинский пр-т., 94, Санкт-Петербург, Россия, 198332";"B020";112
60.0016103;30.2977285;"Коломяжский пр., 22, Санкт-Петербург, Россия, 197348";"B513";113
60.00687569999999;30.2748217;"пр. Испытателей, 27, Санкт-Петербург, Россия, 197227";"B013";114
60.0001885;30.287126;"Богатырский пр., 7, Санкт-Петербург, Россия, 197348";"2129";115
59.9992469;30.1989258;"Лыжный пер., 6, Санкт-Петербург, Россия, 197082";"2751";116
59.9889046;30.1983193;"ул. Савушкина, 132А корпус 1, Санкт-Петербург, Россия, 197374";"B011";117
60.0097;30.3258946;"пр-т. Энгельса, 33, корпус 1, Санкт-Петербург, Россия, 194156";"B41C";118
60.12397619999999;30.3530416;"дор. на Мендсары, 10, Порошкино, Ленинградская обл., Россия, 188660";"2720";119
59.94606109999999;30.4978764;"пр. Косыгина, 30 корпус 1, Санкт-Петербург, Россия, 195298";"B089";120
60.0321991;30.6322368;"ул. Героев, 17, Всеволожск, Ленинградская обл., Россия, 188640";"2649";121
60.02920599999999;30.2982755;"ул. Щербакова, 7, Санкт-Петербург, Россия, 197375";"B014";122
60.065713;30.303624;"Выборгское ш., 33-А, Санкт-Петербург, Россия, 194355";"2130";123
60.0562467;30.324105;"ул. Симонова, 1, Санкт-Петербург, Россия, 194358";"2814";124
60.0302304;30.6750735;"Романовская ул., 1, Всеволожск, Ленинградская обл., Россия, 188642";"B512";125
59.927586;30.401392;"Заневский пр-т., 67 корп. 2, Санкт-Петербург, Россия, 195112";"2132";126
60.04080810000001;30.2192734;"Комендантский пр., 66, Санкт-Петербург, Россия, 197350";"B506";127
59.9304654;30.6389253;"Колтуши, Ленинградская обл., Россия, 188680";"B349";128
60.03659560000001;30.3211813;"пр-т. Энгельса, 120, Санкт-Петербург, Россия, 194356";"2550";129
60.0121755;30.3998774;"ТРК «Академ парк», Гражданский пр-т., 41б, Санкт-Петербург, Россия, 195220";"2271";130
56.8215975;60.62376870000001;"ул. Тверитина, 45, Екатеринбург, Свердловская обл., Россия, 620026";"B001";131
56.8081037;60.59917359999999;"ул. Серова, 41, Екатеринбург, Свердловская обл., Россия, 620144";"2733";132
56.8637934;60.6306044;"ул. Сулимова, 50, Екатеринбург, Свердловская обл., Россия, 620137";"B070";133
56.806891;60.6122168;"ул. 8 Марта, 149, Екатеринбург, Свердловская обл., Россия, 620142";"B238";134
56.7888002;60.6485754;"ул. Щербакова, 4, Екатеринбург, Свердловская обл., Россия, 620076";"B245";135
56.8905468;60.74366490000001;"ул. Березовский Тракт, 15, Березовский, Свердловская обл., Россия, 623701";"2736";136
56.9083248;60.8125953;"Театральная ул., Березовский, Свердловская обл., Россия";"B242";137
56.797043;61.321337;"ул. Ленинградская, 9, Заречный, Свердловская обл., Россия, 624250";"B241";138
56.85243639999999;60.6407986;"ул. Блюхера, 39, Екатеринбург, Свердловская обл., Россия, 620041";"B236";139
56.8843389;60.49923620000001;"Ангарская ул., 22, Екатеринбург, Свердловская обл., Россия, 620050";"2739";140
56.8487182;60.5643164;"Опалихинская ул., 15, Екатеринбург, Свердловская обл., Россия, 620034";"2737";141
56.8283018;60.5894617;"ул. Радищева, 33, Екатеринбург, Свердловская обл., Россия, 620014";"2436";142
56.7888363;60.4822238;"ул. Евгения Савкова, 41, Екатеринбург, Свердловская обл., Россия, 620036";"B148";143
55.1781366;61.34784089999999;"ул. Братьев Кашириных, 99-а, Челябинск, Челябинская обл., Россия, 454021";"2295";144
55.65598749999999;37.5418248;"ул. Профсоюзная, 61А, Москва, Россия, 117420";"2101";145
55.79502669999999;37.6169415;"Шереметьевская ул., 6, к. 1, Москва, Россия, 129594";"2418";146
55.8079317;37.5737787;"Тимирязевская ул., 2/3, Москва, Россия, 127287";"2445";147
55.6276384;37.6159435;"Варшавское ш., 124 корпус 1, Москва, Россия, 117587";"2036";148
55.8350474;37.6589056;"пр-т Мира, 188Б, корпус 2, Москва, Россия, 129128";"2669";149
55.863811;37.5452283;"Дмитровское ш., 89, Москва, Россия, 127486";"2084";150
55.5463062;37.5512338;"б-р Адмирала Ушакова, 7, Москва, Moscow Oblast, Россия, 117624";"2351";151
55.6366411;37.5982863;"микрорайон Северное Чертаново, 1А, Москва, Россия, 117648";"2360";152
55.8838484;37.6062367;"ул. Плещеева, 4, Москва, Россия, 127560";"2048";153
59.86342529999999;30.4038983;"Пражская ул., 48/50, Санкт-Петербург, Россия, 192241";"2144";154
55.7568721;37.6150527;"Москва, Россия";;
59.9310584;30.3609097;"Санкт-Петербург, Россия";;
55.7568721;37.6150527;"Москва, Россия";;
